ID, Name, Longitude, Latitude, ReviewCount, YelpStars, AreaID
46,T.G.I. Fridays,-79.9175086,40.4087041,15,2.5,7
47,Uno Pizzeria & Grill,-79.9141364,40.410967,33,3,7
48,Victorias Secret,-79.9163778,40.4071786,3,2,7
49,P F Changs China Bistro,-79.91615,40.4071112,64,3,7
50,Gordon Shoes,-79.9161483,40.4081509,5,4,7
51,Panera Bread,-79.9166162,40.407152,17,3,7
52,Munhall Veterinary Hospital,-79.903054,40.39726,4,4,7
53,Target,-79.9098881,40.4103739,15,3.5,7
54,Mens Wearhouse,-79.91295,40.40939,4,3.5,7
55,The Pizza Company,-79.9033649,40.385745,5,3,7
56,DSW Designer Shoe Warehouse,-79.90727,40.4132798,6,4,7
57,Bed Bath & Beyond,-79.9080745,40.4130804,6,3.5,7
58,Eatn Park Restaurant,-79.9132525,40.4113236,13,3,7
59,T.J. Maxx,-79.906054,40.4135937,5,4,7
60,Marshalls Inc,-79.909169,40.4127917,6,3,7
61,Mitchells Fish Market,-79.9180894261369,40.4088783792259,73,4,7
62,Old Navy,-79.906061,40.412712,6,3,7
63,Dicks Sporting Goods,-79.9075963,40.4138973,4,2.5,7
64,Shop n Save,-79.8737336,40.3736775,3,3,7
65,McDonalds,-79.8626605,40.3849854,4,1,7
66,Latina Pizza,-79.868305,40.389192,3,4,7
67,Big Bang Bicycles,-79.9271583,40.3714868,12,4.5,7
68,Bellisario Pizza Shop,-79.8737336,40.3736775,5,3.5,7
69,Hunan Wok Chinese Restaurant,-79.8737336,40.3736775,4,5,7
70,American Thrift Center,-79.8737336,40.3736775,3,3,7
71,Minerva Bakery,-79.854724,40.35208,7,5,7
72,Pierogies Plus,-80.0600626,40.4687228,31,4.5,7
73,Marges Place,-80.074153,40.472505,10,4.5,7
74,Island Avenue Tattoo,-80.062334,40.472851,3,4,7
75,Applebees,-80.0656106,40.46562,5,3,7
76,Cindy Essers Floral Shop,-79.9865459,40.4285874,3,3,7
77,R & Bs Pizza Place,-80.0533931,40.494301,9,4,7
78,Luigis Pizzeria,-80.056877,40.495887,15,4,7
79,McDonalds,-80.06235,40.492067,4,2.5,7
80,China Sea Chinese Restaurant,-80.0586009,40.4970698,6,2.5,7
81,Avalon Motel,-80.07249,40.499398,5,1.5,7
82,Star Nails,-80.058655,40.497444,4,3,7
83,Vivo,-80.057905,40.496371,3,5,7
84,Mane Attractions Unlimited,-80.057993,40.496411,5,2.5,7
85,Lincoln Bakery,-80.057219,40.496068,14,4,7
86,Arbys Roast Beef Restaurants,-80.055464,40.487671,3,3,7
87,Red White & Blue Thrift Store,-80.065652,40.495483,17,4,7
88,Rusty Nail,-80.057381,40.4966408,17,3.5,7
89,Remember When,-80.077006,40.459082,8,3.5,7
90,Pauls Clock Repair,-80.0575565,40.4499962,5,5,7
91,Pistella Beer Distributors,-79.931884,40.463717,11,4,7
92,Animal Elegance,-79.920642,40.4882149,10,3.5,7
93,Pinos Contemporary Italian Restaurant & Wine Bar,-79.9145,40.450249,46,2.5,7
94,Brunos Garage,-79.926611,40.467794,3,5,7
95,Broadway Auto Parts,-79.922481,40.462105,3,5,7
96,Bastone Auto Service,-79.924269,40.457881,10,4,7
97,Giant Eagle,-79.921053,40.458577,10,2.5,7
98,Supercuts,-79.924717,40.458335,7,2,7
99,Eddies Pizza Haus,-79.9259794,40.4852511,5,4,7
100,Tasty Chinese Restaurant,-79.9251169,40.4582511,15,3,7
101,Ventos Pizza,-79.9229971,40.4653904,13,3.5,7
102,Minutellos Restaurant & Lounge,-79.922447,40.458703,7,3,7
103,Mikes Auto Body,-79.9148356,40.4657572,12,4.5,7
104,Animal Rescue League Shelter & Wildlife Center,-79.9100009,40.457598,27,4,7
105,Topline by Vincent,-79.925517,40.457271,5,4,7
106,CVS Pharmacy,-79.9238313,40.4606263,5,2,7
107,Goodyear Auto Service Center,-79.9252199,40.464176,5,1.5,7
108,Rockwel Realty,-79.926487,40.485645,5,2.5,7
109,Enricos Tazza Doro Cafe & Espresso Bar,-79.918862,40.474884,92,4.5,7
110,Club One,-79.9185679,40.459747,8,3.5,7
111,Buffalo Blues,-79.9255146,40.4583902,60,3,7
112,China Garden,-79.9180322,40.4579265,11,3,7
113,Arhaus Furniture,-79.9250618,40.4575612,3,3.5,7
114,Smileys Pet Pad,-79.9251176,40.4582381,5,4,7
115,Shady Hill Chiropractic Clinic,-79.921901,40.458477,4,4,7
116,Monro Muffler Brake & Service,-79.9316767,40.4638365,10,2,7
117,McDonalds,-79.9187095,40.4584723,6,2,7
118,Walters Automotive,-79.9313671,40.4592437,64,5,7
119,Kelly Strayhorn Theater,-79.9251969,40.4617424,3,3.5,7
120,Ace Lock,-79.9256896,40.4605003,6,5,7
121,Food Glorious Food,-79.919627,40.475405,24,5,7
122,AAA,-79.9274944,40.4601614,6,3.5,7
123,Carnegie Library of Pittsburgh - East Liberty,-79.9259052,40.4613612,3,5,7
124,Shadow Lounge,-79.925241,40.4605159,28,4.5,7
125,The Home Depot,-79.922397,40.464615,19,3,7
126,Pittsburgh Glass Center,-79.933126,40.463935,10,4.5,7
127,Hairdressers II,-79.9254969,40.457589,5,5,7
128,Midas,-79.9250911,40.4641113,5,3.5,7
129,Pizza Parma,-79.9251182,40.4582251,23,3,7
130,Econowash Laundry,-79.9251969,40.4573589,3,2.5,7
131,Whole Foods Market,-79.928830198608,40.4585106474725,90,3.5,7
132,AAMCO Transmissions & Total Car Care,-79.928355,40.460997,7,4.5,7
133,Pittsburgh Indoor Tennis Club,-79.923615,40.459676,4,4,7
134,Time Bomb Spot,-79.925436,40.458522,3,4.5,7
135,Jimmy Tsangs Chinese Restaurant,-79.9336632,40.4572607,12,3,7
136,Newman Chiropractic Center,-79.9211464,40.4538201,4,4,7
137,Casbah,-79.924797,40.458138,199,4,7
138,Quiet Storm Vegetarian & Vegan Cafe,-79.935388,40.464485,143,4,7
139,Pizza Perfectta,-79.9252056,40.4572935,41,4,7
140,Point Breeze Veterinary Clinic,-79.9143225,40.4502135,15,4,7
141,Frick Park Market,-79.90508,40.4472949,10,4.5,7
142,East End Food Co-Op,-79.8954753,40.4481991,60,4.5,7
143,Construction Junction,-79.898855609787,40.4496169180659,27,4.5,7
144,Block Harvey M DMD,-79.895957,40.447942,3,5,7
145,The Climbing Wall,-79.895957,40.447942,29,3,7
146,Meineke Car Care Center,-79.9084721005249,40.4574605383472,4,2.5,7
147,Cafe Zinho,-79.9275276,40.457835,54,4,7
148,Frick Art & Historical Center,-79.9012971,40.4484869,30,4,7
149,Appliance Service Center,-79.987783,40.4148896,3,3.5,7
150,Izzazu Salon,-79.9996304512024,40.4407497519697,18,3,7
151,Page Dairy Mart,-79.9558863,40.4115087,53,4.5,7
152,Kullmans Bakery,-79.987206,40.415053,3,3.5,7
153,Great Wall Chinese Food,-79.9877685,40.4147064,3,3,7
154,Alla Famiglia,-79.9934656,40.4216159,72,4.5,7
155,No 1 China House,-79.992815,40.4218925,5,2.5,7
156,Dollar Bank,-79.981359,40.3668,3,4,7
157,Future Nails,-79.9866014,40.3926169,3,2.5,7
158,Hunan Wok Chinese Takeout,-79.9866275,40.3923844,7,3,7
159,Bishops Pizza,-79.986911,40.393115,4,3,7
160,Cost Cutters,-79.98718,40.391732,3,3,7
161,Frank & Shirleys Restaurant,-79.996225,40.388311,11,4,7
162,Bohn M J Cycle Shop,-79.9968169,40.39261,3,1.5,7
163,DiCarlos Original Pizza,-79.9972486,40.3923831,6,3.5,7
164,Long John Silvers Inc,-79.98224,40.387167,3,1.5,7
165,The Park House,-80.0013672,40.4531335,39,4,7
166,Bernies Photo Center,-79.9997426,40.4534167,11,3,7
167,Maxs Allegheny Tavern,-79.999815,40.455167,110,4,7
168,China Taste,-79.9981189,40.4541341,8,4,7
169,North Shore Deli,-79.9992711,40.4535039,7,5,7
170,The Priory Hotel,-79.9981452,40.4521309,32,3.5,7
171,Key West,-79.9606482,40.4959456,3,3.5,7
172,Clark Bar & Grill,-80.0088714,40.4489884,7,3.5,7
173,Pasta Too,-80.006512,40.455833,3,3.5,7
174,BreadWorks Bakery,-80.0190648,40.4621686,12,4.5,7
175,Teutonia Mannerchor,-79.994957,40.455167,6,4,7
176,Billys Troy Hill Bistro,-79.9821671,40.4643755,5,3.5,7
177,Omnimax Theater,-80.018213,40.4457075,5,4.5,7
178,Carnegie Museums of Pittsburgh,-79.9495881,40.4435041,49,4.5,7
179,Heinz USA,-79.9907425,40.4546428,4,5,7
180,Pizza Hut,-80.0070383,40.4566455,3,3.5,7
181,Legends North Shore,-80.0015054,40.4566092,71,4,7
182,Caruso Beer Distributor,-80.0105349,40.4566994,7,4,7
183,Giant Eagle,-80.0009426,40.4509987,19,2,7
184,Daves Barber Shop,-80.0005142,40.4542747,3,4.5,7
185,Pfennigs Cleaners Inc,-79.999162,40.454859,4,4,7
186,Peanutz,-80.0012052,40.4534984,7,2.5,7
187,Allegheny YMCA,-80.0126074,40.4543344,3,4.5,7
188,Steves New York Hotdog Shop,-80.0065429,40.455929,6,4.5,7
189,Nails Today,-80.001199,40.4531769,3,3.5,7
190,Atrias Restaurant,-80.0042395,40.4480678,48,3,7
191,Childrens Museum of Pittsburgh,-80.0066578388214,40.4527029402106,29,5,7
192,Pickles Pizza & Sandwich Emporium,-80.0008071,40.4535915,14,3.5,7
193,Wilsons Bar-B-Q,-80.014446,40.456259,12,4,7
194,Pittsburgh Steelers,-80.0153356,40.4460204,49,4.5,7
195,The Isaly Company,-79.9993338,40.4534946,3,3.5,7
196,Firewaters,-80.0040779,40.4481509,3,3,7
197,Pittsburgh Pirates,-80.0042488,40.4480946,10,3.5,7
198,St Anthonys Chapel,-79.983936,40.464958,4,3.5,7
199,Pittsburgh Tribune-Review,-80.010841,40.4484039,6,1.5,7
200,Lester Yon Auto Repair,-79.9621242834648,40.4730851446399,5,4,7
201,Nicks Place,-80.0354937,40.4846476,6,3,7
202,Three Dogs & A Cat Grooming Salon,-80.0302515,40.4702876,3,5,7
203,Tom Fridays Market,-80.0414427,40.4812123,6,5,7
204,Millers Seafood House,-80.0416964,40.4851129,10,2.5,7
205,Chubbys Pizza & Hoagies Northside,-80.0414027,40.4810824,9,3,7
206,Schorr Bakery,-80.018177,40.489973,3,3.5,7
207,All the Best Catering,-80.0297492,40.4215177,3,4.5,7
208,West Liberty Animal Hospital,-80.037826,40.3918758,8,4,7
209,Knossos Gyros & Sis-Kabob,-80.0350352,40.3959923,12,3,7
210,The Exchange,-80.034704,40.3950481,4,3.5,7
211,The Fireplace & Patioplace,-80.0464255,40.3943248,3,3.5,7
212,Apple Inn,-80.0342686,40.3949331,9,3.5,7
213,Moonstones,-80.0343,40.3953119,11,4.5,7
214,Entertainment Unlimited Inc,-80.031761,40.409199,3,3,7
215,Kuhns Market,-80.0434133,40.3996765,15,4,7
216,Tonys Barber Shop,-80.0445647,40.3992789,3,2,7
217,West Liberty Cycles,-80.0294805,40.3971675,5,5,7
218,The Coffee Tree Roasters,-80.0496559,40.3887221,12,3.5,7
219,Huddle,-80.024957,40.409125,8,3.5,7
220,Sergios Style,-80.0339862,40.394911,14,5,7
221,Sushi Three,-80.049448,40.388562,17,3.5,7
222,Green Garden,-80.049921,40.38892,7,2.5,7
223,Breakers,-80.0345551,40.3953565,4,3,7
224,Toms Diner,-80.0352133,40.3942631,24,3.5,7
225,Potomac Bakery,-80.0347424,40.3954709,13,4,7
226,Days Inn Pittsburgh,-80.030114,40.420335,10,2,7
227,Betos Pizza & Restaurant,-80.030322,40.412659,86,3.5,7
228,Firestone Complete Auto Care,-80.041926,40.4025781,3,4.5,7
229,Scoops On Beverly,-80.0500275,40.3885545,9,4,7
230,Banksville Beer Inc,-80.0433063,40.401054,3,2.5,7
231,Eatn Park Restaurant,-80.033585,40.395871,15,3.5,7
232,Dairy Queen,-80.0466445,40.3958828,5,4,7
233,PICT Classic Theatre,-79.9534393,40.443213,4,5,7
234,Lighting by Erik Inc,-80.039142,40.390935,3,3.5,7
235,Metro Heating & Cooling Corp,-80.029239,40.422068,3,3.5,7
236,Cains Saloon,-80.0409102,40.3897336,54,4,7
237,The Laundry Basket,-80.036197,40.397846,4,5,7
238,The Dor-Stop Restaurant,-80.0348023,40.3959206,173,4.5,7
239,Campitis Don Pizzeria,-80.0357966,40.3966306,25,3.5,7
240,Ruffing Automotive,-80.033232,40.396132,3,3.5,7
241,Geno Como Salon,-80.049821,40.388395,3,2.5,7
242,Namaste India,-80.030114,40.420335,19,2.5,7
243,Maharaja Restaurant,-80.030114,40.420335,11,3,7
244,Arbys,-80.03063,40.414716,5,2.5,7
245,Market On Broadway IGA,-80.024985,40.409944,5,3,7
246,Bados Pizza Grill And Ale House,-80.0499034,40.3886105,55,3.5,7
247,Little Nippers Pizza,-80.049779,40.3886666,7,2.5,7
248,Dormont Lanes,-80.0351994,40.393828,4,4.5,7
249,The Botanical Emporium Florist & Greenhouse,-80.04689,40.395691,4,4,7
250,Heckman Lee Custom Framing & Gallery,-80.049572,40.388507,3,3,7
251,Supercuts,-80.043683,40.399457,3,3.5,7
252,Blooming Dahlia,-80.049448,40.388562,3,5,7
253,Staples,-80.035508,40.405964,3,3.5,7
254,ADT Security Services Inc.,-80.039931,40.404526,3,1,7
255,McBroom Distributor,-79.893463,40.431523,8,3.5,7
256,Ds Six Pax & Dogz,-79.893834,40.432022,225,4.5,7
257,Candalina Brides,-79.8914638,40.4233755,5,2.5,7
258,Regency Cleaners,-79.894158,40.432478,5,2,7
259,Pub In the Park Inc,-79.8975426,40.4213571,3,4,7
260,Murphys Tap Room,-79.8938618,40.4325501,9,3,7
261,Edgewood Dental Associates,-79.886957,40.4270319,8,4.5,7
262,Dunnings Grill,-79.894243,40.432599,17,3,7
263,Ambiance Boutique,-79.894049,40.43333,4,4,7
264,Taco Bell,-79.890649,40.427135,4,3.5,7
265,Katerbean,-79.89407,40.4323539,11,1.5,7
266,Edgewood Shoe Repair,-79.8846281,40.433168,7,5,7
267,Rudy Martino Original House of Submarines,-79.890285,40.421259,3,5,7
268,China House II,-79.8893217,40.422307,3,3.5,7
269,Triangle Bar & Grill,-79.8879525,40.4175696,25,4.5,7
270,Veltres Pizza,-79.886521,40.4209717,5,4,7
271,Giant Eagle,-79.8873652,40.42304,8,3,7
272,Wendys,-79.8886201,40.4254343,4,3,7
273,Kmart,-79.886067604932,40.428232213078,4,2,7
274,The Edgewood Club,-79.8852289,40.432151,4,4.5,7
275,Applebees,-79.8886844,40.4273028,12,2.5,7
276,Bp Oil Company,-79.8906283,40.426722,3,4,7
277,Benihana,-80.070269,40.392287,33,3.5,7
278,Mad Mex,-80.070806,40.3906976,65,3.5,7
279,Crate,-80.06597,40.3938079,5,4,7
280,Crouse Wayne Beer Distributor,-80.0594902,40.3915059,3,4.5,7
281,Giant Eagle,-80.065824,40.392484,8,3.5,7
282,Max & Ermas,-80.0629702,40.3940168,21,2.5,7
283,Brueggers Bagels,-80.061579,40.392551,5,3,7
284,Sichuan House Chinese Restaurant,-80.065824,40.392484,4,3,7
285,Starbucks,-80.065824,40.392484,6,4.5,7
286,Panera Bread,-80.0660407,40.3939568,11,4,7
287,Three Rivers Regatta,-80.043815612793,40.4280128479004,3,3.5,7
288,Aracris Greentree Inn,-80.045368,40.416975,9,4,7
289,Vincents of Greentree,-80.0500506,40.4210254,34,3.5,7
290,Better-Maid Donut Co,-80.047466,40.441776,17,4.5,7
291,Pennsylvania Turnpike Comm,-80.0418784,40.4245443,3,2,7
292,Parkway Center Mall,-80.0355884,40.4224571,6,1,7
293,Best Western - Parkway Center Inn,-80.0415536,40.4244987,13,3.5,7
294,Ceramiche Tile & Stone,-80.0353502,40.4407933,3,4.5,7
295,Olive Garden Italian Restaurant,-80.0456525,40.4198341,19,3.5,7
296,Holiday Inn Express & Suites PITTSBURGH WEST - GREENTREE,-80.0415536,40.4244987,7,4,7
297,Clarion Hotel and Conference Center,-80.0557546,40.4205818,15,1.5,7
298,Boston Market,-80.045902,40.418106,5,4,7
299,Einstein Bros Bagels,-80.045329,40.418425,9,3,7
300,Starbucks,-80.0022117,40.4401998,13,3,7
301,Princess Nails,-80.000657,40.440677,5,1.5,7
302,MCN Salon,-79.9292063713074,40.4585236343666,75,4,7
303,Kennys Nail Center,-80.00141,40.439597,10,2.5,7
304,Soho,-80.0043186,40.4483207,69,3,7
305,Original Fish Market,-79.994852,40.4441681,74,2.5,7
306,Opening Night Caterers,-79.9779889,40.455575,3,5,7
307,Bossa Nova,-80.0006057,40.4439388,29,2.5,7
308,Monro Muffler Brake & Service,-79.880292,40.442436,3,3.5,7
309,Olive Or Twist,-80.0025539,40.4429278,132,3.5,7
310,Sunseri Jimmy & Nino Co,-79.984628,40.450964,16,3.5,7
311,Port Authority of Allegheny County,-79.928437,40.458139,36,2.5,7
312,St Mary of Mercy Church,-80.004357,40.439652,3,4.5,7
313,Jo Jos Restaurant,-79.9814643,40.4540368,18,3.5,7
314,Labads,-79.9854235,40.4503182,16,4.5,7
315,Avis Rent A Car,-80.0048354,40.4432268,3,3.5,7
316,Penn Fixture & Supply Co,-79.975173,40.4568643,3,4,7
317,Salon Christine,-79.9574279,40.477463,4,3,7
318,Primanti Bros,-80.002585,40.440287,340,3.5,7
319,Monte Cellos Downtown,-79.9973279,40.4430725,9,3,7
320,McDonalds,-79.9989518,40.4422762,3,1.5,7
321,Reyna Foods,-79.9834035,40.4514856,76,4.5,7
322,Rolands Seafood Grill,-79.9842886,40.4505742,125,2.5,7
323,JoS A Bank Clothiers,-79.998244,40.441217,3,2,7
324,Nicholas Coffee Co,-80.0030696,40.441253,46,4.5,7
325,Salonika Gyros,-80.0027249,40.444021,31,3.5,7
326,Brown Bag Delis,-79.994009,40.444318,5,3,7
327,La Gondola Pizzeria & Restaurant,-80.0024696,40.4401562,15,4.5,7
328,Christos,-80.0027621,40.4440173,42,3,7
329,Spaghetti Warehouse,-79.979271,40.455916,74,2.5,7
330,Hair By Design,-79.979898,40.4542069,3,5,7
331,Society For Contemporary Craft,-79.9876707,40.4500361,5,4,7
332,Mortons The Steakhouse,-80.0007482,40.4423373,47,4,7
333,New Sambok Oriental Foods,-79.9852163,40.4504367,16,4,7
334,Americas Best Contacts & Eyeglasses,-79.998437,40.44308,5,2,7
335,Au Bon Pain Co Inc,-79.99086,40.44756,6,2.5,7
336,The Pennsylvanian,-79.9924126,40.4442424,3,2.5,7
337,Saks Fifth Avenue,-79.9983733,40.440531,5,3,7
338,Weldins,-80.001223,40.439869,8,2,7
339,Mamma Lucia Pizza,-80.0009183,40.4403687,6,4,7
340,Pittsburgh Opera,-79.9793369,40.4533969,4,4.5,7
341,Elite Coach Limousine,-79.978739,40.455004,4,3.5,7
342,Peppis,-80.0005877,40.4370256,19,4,7
343,La Prima Espresso Co,-79.9828538,40.4514869,44,4.5,7
344,Pegasus Lounge,-80.037607,40.471965,6,3,7
345,Cardamones Salon,-80.0007903,40.4400691,8,3.5,7
346,Pittsburgh CLO,-80.0000446,40.4430038,10,4.5,7
347,Buon Giorno Cafe,-80.005135,40.43866,4,3.5,7
348,Lotus Food Co,-79.986418,40.449767,49,4,7
349,Reweaving & Reknitting Shop,-80.0013742593384,40.4397214839265,13,5,7
350,Jim Ludwigs Blumengarten Florist,-79.9770515,40.4557817,22,4.5,7
351,Specialty Luggage Co,-79.997596,40.443294,5,4,7
352,Madonnas Restaurant,-79.99920129776,40.4395902449355,7,4,7
353,Smithfield Cafe,-79.997214,40.442558,16,3.5,7
354,Cool Beans Coffee Co,-79.994009,40.444318,3,3,7
355,Roxannes Dried Flowers,-79.982872,40.4521267,7,4.5,7
356,Andys Sushi Bar,-79.9858749,40.450111,40,4,7
357,Fort Pitt Candy Co,-79.9861704,40.4493537,4,3,7
358,Sushi Kim Restaurant,-79.9916741,40.4464777,81,3,7
359,Pittsburgh Public Theater,-80.0015651596069,40.4431259035712,13,4,7
360,Pittsburgh City Paper,-79.996695,40.442483,3,3,7
361,The Midwife Center For Birth & Womens Health,-79.975183,40.457523,9,5,7
362,Redfin Blues,-79.9776291,40.4639257,37,2.5,7
363,Pittsburgh Chiropractic Associates,-79.9996324568694,40.4404547042542,3,5,7
364,Hot Haute Hot,-79.982244,40.4520089,5,3.5,7
365,Kim DO Oriental Grocery,-79.9845049,40.4504243,4,4,7
366,Denham & Company Salon,-80.00305,40.441185,18,4.5,7
367,F. Tambellini Ristorante,-80.000162,40.443577,16,2,7
368,Caffe Amante,-80.003107,40.442228,8,3.5,7
369,Healthquest Chiropractic,-80.001354,40.441787,4,5,7
370,Villa Reale Pizzeria & Restaurant,-79.996955,40.4421419,16,3,7
371,Salon Nuvo,-80.0018688,40.4428098,15,4.5,7
372,Ruths Chris Steak House,-80.0037919,40.4392798,49,4,7
373,Ullrich Shoe Repair,-80.0021834,40.4418512,16,4,7
374,Gabriel Shoe Repair,-80.0005579,40.4399334,3,4.5,7
375,Papa Js Centro,-80.003085,40.438857,19,3,7
376,Images Bar,-79.99574,40.443782,6,4,7
377,Mon Aimee Chocolat,-79.983095,40.4518345,51,4,7
378,Einstein Bagels,-79.99086,40.44756,5,4,7
379,Stans Market,-79.9848298,40.4507069,15,3.5,7
380,Klavons Ice Cream Parlor,-79.9756691,40.4570059,59,4,7
381,Healing Touch Massage Therapy,-80.0046622753143,40.4423828265526,4,4.5,7
382,Courtyard Pittsburgh Downtown,-79.9964467,40.4442997,27,3.5,7
383,Smallman Street Deli,-79.975178,40.4580709,20,4,7
384,Subway,-79.9997165,40.4422522,3,3.5,7
385,Benedum Center For the Performing Arts,-80.0000446,40.4430038,42,4.5,7
386,Tunnel O Suds,-79.9166814,40.4037481,4,4.5,7
387,Max & Ermas Restaurants,-80.0042813,40.4431765,15,3.5,7
388,Liangs Hunan Restaurant,-79.9961509,40.4434132,7,1.5,7
389,1902 Tavern,-80.0028187,40.4410988,7,2.5,7
390,Mike Feinberg Company,-79.9847944,40.450223,10,4.5,7
391,Wiener World,-79.997135407783,40.442234451829,14,3,7
392,Sammys Famous Corned Beef,-79.9989825,40.4393281,7,2.5,7
393,First Presbyterian Church of Pittsburgh,-79.999097,40.441546,4,2.5,7
394,Mahoneys Restaurant,-79.9963285,40.4436238,25,2.5,7
395,Fortunes Coffee Roastery,-79.9838104,40.4512032,12,4,7
396,Wood Street Galleries,-79.999571,40.4423378,10,4,7
397,Amtrak,-79.9924126,40.4442424,14,3,7
398,Fu Lai Chinese Restaurant,-80.0031124,40.4428479,15,2.5,7
399,Marks Grille & Catering,-79.9973744,40.4440672,5,3.5,7
400,Stamoolis Brothers Company,-79.9833014,40.4512257,15,4.5,7
401,Galardis 30 Minute Cleaners,-80.0031634,40.4410041,6,1.5,7
402,Gene Sanes,-79.9863136,40.4495492,3,5,7
403,Pennsylvania Macaroni Co,-79.9834614,40.4513551,115,4.5,7
404,Harris Theater,-79.9986476,40.4429498,10,4,7
405,Penn Animal Hospital,-79.982331,40.452545,5,4.5,7
406,Zorbas Gyros,-79.9994904,40.4387143,15,3.5,7
407,Prestogeorge Fine Foods,-79.98572,40.450211,37,4.5,7
408,Lidias Pittsburgh,-79.9894086,40.4484631,222,3.5,7
409,Sports Rock Cafe,-79.9894086,40.4484631,7,2.5,7
410,Ephesus Mediterranean Kitchen,-80.0028862631704,40.4398391118939,51,4,7
411,Peppis,-79.985665,40.450237,22,4,7
412,Renaissance Pittsburgh Hotel,-80.002241,40.443821,80,4,7
413,David L Lawrence Convention Center,-79.99496,40.446578,15,4,7
414,Bow Wow Doggie Day Care Inc,-79.9760951,40.4562274,5,4,7
415,The Westin Convention Center Pittsburgh,-79.994852,40.4441681,70,3.5,7
416,Original Oyster House,-80.0019823,40.4409393,67,3,7
417,Pizza Parma,-79.9985899,40.44389,31,3,7
418,There Ultra Lounge,-79.9969003,40.4434471,3,2.5,7
419,Mullaneys Harp and Fiddle,-79.9809286,40.4534271,23,3.5,7
420,My Ngoc Restaurant,-79.9825405,40.4520306,11,3,7
421,Burlington Coat Factory,-79.9984489,40.4417447,7,3.5,7
422,The Lemon Grass Cafe,-80.0027681,40.4440318,28,2.5,7
423,San Remo Pizza,-80.0043039,40.4380683,5,3.5,7
424,Starbucks,-79.947532,40.461189,7,2.5,7
425,Garfield Artworks,-79.9440175,40.4653552,9,3,7
426,East End Community Thrift,-79.9418785,40.4650625,4,4,7
427,China House,-79.951722,40.462753,8,3.5,7
428,Cafe Sam,-79.940241,40.456227,36,4,7
429,Sound Cat Records,-79.95117,40.462468,10,5,7
430,Paddy Cake Bakery,-79.947655,40.4612539,15,3.5,7
431,Angelos Pizzeria,-79.9479211,40.4607719,28,3.5,7
432,Kraynicks Bike Shop,-79.943809,40.4653251,15,5,7
433,Grazianos Pizzeria,-79.9548907,40.4659283,14,4,7
434,Dan Cercone Hairstyling,-79.949352,40.461546,25,4.5,7
435,Pizza Italia,-79.951539,40.46266,17,4,7
